Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
GET请求,100,68,62,80,4.03,0.000%,14.46969,5.28,1.95,374.0
总体,100,68,62,80,4.03,0.000%,14.46969,5.28,1.95,374.0
