Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
POST请求,300,641,121,2618,493.62,0.333%,13.84083,2.06,21.79,152.2
总体,300,641,121,2618,493.62,0.333%,13.84083,2.06,21.79,152.2
