Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
POST请求,100,326,136,392,69.55,0.000%,13.60174,1.91,21.51,144.0
总体,100,326,136,392,69.55,0.000%,13.60174,1.91,21.51,144.0
