Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
GET请求,2000,101,58,3155,288.55,0.000%,177.16361,64.71,23.88,374.0
总体,2000,101,58,3155,288.55,0.000%,177.16361,64.71,23.88,374.0
