Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
POST请求,100,131,118,284,16.87,0.000%,7.60341,1.07,12.26,144.0
总体,100,131,118,284,16.87,0.000%,7.60341,1.07,12.26,144.0
