Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
GET请求,500,77,60,1076,80.98,0.000%,58.19367,21.25,7.84,374.0
总体,500,77,60,1076,80.98,0.000%,58.19367,21.25,7.84,374.0
